t,raw
36845.0,0.36478356
36846.0,0.14137006
36847.0,0.036360268
36848.0,-0.1857837
36849.0,-0.15162317
36850.0,0.05637308
36851.0,0.105462745
36852.0,-0.07775735
36853.0,-0.19864883
36854.0,0.091847815
36855.0,0.25545138
36856.0,0.1963957
36857.0,-0.034480426
36858.0,-0.06479507
36859.0,-0.431041
36860.0,-0.7779078
36861.0,-0.715336
36862.0,-1.0072455
36863.0,-0.9321122
36864.0,-0.8608816
36865.0,-0.5290556
36866.0,-0.5443537
36867.0,-0.60309213
36868.0,-0.6755291
36869.0,-0.52181184
36870.0,-0.36503887
36871.0,-0.2884356
36872.0,-0.6113398
36873.0,-0.716364
36874.0,-0.7645462
36875.0,-0.637418
36876.0,-0.9977524
36877.0,-0.7202557
36878.0,-0.49381393
36879.0,-0.5328455
36880.0,-0.5690409
36881.0,-0.38582405
36882.0,-0.35418797
36883.0,-0.3380419
36884.0,-0.19430459
36885.0,-0.28134462
36886.0,0.0075166635
36887.0,0.17206442
36888.0,0.33336934
36889.0,0.2794404
36890.0,0.14654948
36891.0,0.16428594
36892.0,0.20770845
36893.0,0.10161438
36894.0,0.29192773
36895.0,0.94663376
36896.0,1.3141154
36897.0,1.1025587
36898.0,0.80687517
36899.0,0.8171345
36900.0,1.0535666
36901.0,0.74386966
36902.0,0.6910736
36903.0,0.44046655
36904.0,0.34567118
36905.0,0.1719313
36906.0,0.1373413
36907.0,0.35362595
36908.0,0.47029427
36909.0,0.6420808
36910.0,0.5662447
36911.0,0.5200821
36912.0,0.6513043
36913.0,0.95664227
36914.0,0.96319085
36915.0,1.0701865
36916.0,1.1186086
36917.0,1.1709223
36918.0,1.0371367
36919.0,1.1826257
36920.0,0.97674626
36921.0,0.77634394
36922.0,0.7449921
36923.0,0.56887615
36924.0,1.1687883
36925.0,1.0983404
36926.0,0.98323786
36927.0,1.2446604
36928.0,1.1767533
36929.0,1.1532356
36930.0,1.1164122
36931.0,1.153866
36932.0,1.2124506
36933.0,1.444586
36934.0,1.6786144
36935.0,1.5487928
36936.0,1.2633413
36937.0,0.8409516
36938.0,0.9384467
36939.0,0.51083034
36940.0,0.52942353
36941.0,0.7252988
36942.0,0.5901626
36943.0,0.6479974
36944.0,0.55468416
36945.0,0.42081687
36946.0,-0.017275663
36947.0,-0.078954004
36948.0,-0.24759482
36949.0,-0.36264792
36950.0,-0.053483784
36951.0,-0.09001031
36952.0,-0.0078066485
36953.0,0.029602146
36954.0,-0.040070157
36955.0,-0.31788152
36956.0,-0.91981244
36957.0,-0.6049082
36958.0,-0.54571307
36959.0,-0.5838912
36960.0,-0.3825904
36961.0,-0.6081476
36962.0,-0.60026556
36963.0,-0.7618934
36964.0,-0.6638373
36965.0,-0.57407093
36966.0,-0.5604182
36967.0,-0.4249962
36968.0,-0.35283595
36969.0,-0.24455217
36970.0,-0.12429441
36971.0,0.037589695
36972.0,0.01494806
36973.0,-0.19459318
36974.0,-0.4548794
36975.0,-0.20637201
36976.0,-0.086332895
36977.0,0.109502085
36978.0,-0.065997355
36979.0,-0.25123677
36980.0,-0.32359958
36981.0,-0.21527165
36982.0,-0.028902061
36983.0,-0.055374004
36984.0,-0.24063493
36985.0,-0.35699248
36986.0,-0.32859325
36987.0,-0.62382364
36988.0,-1.1332338
36989.0,-0.9203471
36990.0,-1.0277946
36991.0,-1.2712862
36992.0,-0.8945962
36993.0,-0.9269564
36994.0,-0.82734567
36995.0,-0.7781819
36996.0,-0.30716607
36997.0,-0.23080784
36998.0,0.006899757
36999.0,-0.46785817
37000.0,-0.008989345
37001.0,0.15996826
37002.0,0.40263063
37003.0,0.5565326
37004.0,0.54640824
37005.0,0.41911733
37006.0,0.34563074
37007.0,0.6604874
37008.0,0.47501495
37009.0,0.59615374
37010.0,0.578153
37011.0,0.6380555
37012.0,0.8566898
37013.0,0.8112007
37014.0,0.7133635
37015.0,0.8367033
37016.0,1.0060093
37017.0,0.93140846
37018.0,1.2608216
37019.0,1.2307788
37020.0,1.3989918
37021.0,1.1922024
37022.0,1.4148679
37023.0,1.0263039
37024.0,0.8169152
37025.0,0.5153629
37026.0,0.71697044
37027.0,0.8876814
37028.0,0.8992255
37029.0,1.0149144
37030.0,1.2774805
37031.0,1.3333497
37032.0,1.0759408
37033.0,0.88905406
37034.0,1.2240794
37035.0,1.3106364
37036.0,1.1341256
37037.0,1.8822881
37038.0,1.5775068
37039.0,1.8285518
37040.0,2.0442066
37041.0,1.9540421
37042.0,1.6976645
37043.0,1.8270067
37044.0,1.8622264
37045.0,2.087146
37046.0,2.1662111
37047.0,2.3499453
